Removed Pin From Net: NetName=3.3V Pin=J1-1
Added Pin To Net: NetName=PTE0 Pin=J1-2
Added Pin To Net: NetName=PTE1 Pin=J1-3
Added Pin To Net: NetName=PTE2 Pin=J1-4
Added Pin To Net: NetName=PTE3 Pin=J1-5
Added Pin To Net: NetName=ADC0_DM0 Pin=J1-6
Added Pin To Net: NetName=ADC1_DM0 Pin=J1-8
Added Pin To Net: NetName=ADC0_SE22 Pin=J1-9
Added Pin To Net: NetName=ADC0_SE21 Pin=J1-10
Added Pin To Net: NetName=ADC0_SE23 Pin=J1-11
Added Pin To Net: NetName=PTE24 Pin=J1-12
Added Pin To Net: NetName=PTE25 Pin=J1-13
Added Pin To Net: NetName=PTA7 Pin=J1-14
Added Pin To Net: NetName=PTA8 Pin=J1-15
Added Pin To Net: NetName=PTA17 Pin=J1-16
Added Pin To Net: NetName=PTB0 Pin=J1-17
Added Pin To Net: NetName=PTB1 Pin=J1-18
Added Pin To Net: NetName=PTB2 Pin=J1-19
Added Pin To Net: NetName=PTB3 Pin=J1-20
Added Pin To Net: NetName=PTB4 Pin=J1-21
Added Pin To Net: NetName=PTB5 Pin=J1-22
Added Pin To Net: NetName=PTB6 Pin=J1-23
Added Pin To Net: NetName=PTB7 Pin=J1-24
Added Pin To Net: NetName=PTB10 Pin=J1-25
Added Pin To Net: NetName=PTB11 Pin=J1-26
Added Pin To Net: NetName=PTC0 Pin=J1-27
Added Pin To Net: NetName=PTC1 Pin=J1-28
Added Pin To Net: NetName=PTC2 Pin=J1-29
Added Pin To Net: NetName=PTC8 Pin=J1-30
Added Pin To Net: NetName=PTC8 Pin=J1-31
Added Pin To Net: NetName=PTC9 Pin=J1-32
Added Pin To Net: NetName=PTC10 Pin=J1-33
Added Pin To Net: NetName=PTC11 Pin=J1-34
Added Pin To Net: NetName=PTD1 Pin=J1-35
Added Pin To Net: NetName=PTD5 Pin=J1-36
Added Pin To Net: NetName=PTD6 Pin=J1-37
Added Pin To Net: NetName=PTB19 Pin=J1-38
Added Pin To Net: NetName=PTB18 Pin=J1-39
Added Pin To Net: NetName=PTA16 Pin=J1-40
Added Pin To Net: NetName=PTA15 Pin=J1-41
Added Pin To Net: NetName=PTA14 Pin=J1-42
Added Pin To Net: NetName=PTA5 Pin=J1-43
Added Pin To Net: NetName=PTE26 Pin=J1-44
Added Pin To Net: NetName=PTC7 Pin=J1-45
Added Pin To Net: NetName=PTC6 Pin=J1-46
Added Pin To Net: NetName=PTC4 Pin=J1-47
Added Pin To Net: NetName=PTC3 Pin=J1-48
Added Pin To Net: NetName=PTD2 Pin=J1-49
Added Pin To Net: NetName=PTD4 Pin=J1-50
Added Pin To Net: NetName=PTD7 Pin=J1-51
Added Pin To Net: NetName=PTA13 Pin=J1-52
Added Pin To Net: NetName=PTA12 Pin=J1-53
Added Pin To Net: NetName=PTD0 Pin=J1-54
Added Pin To Net: NetName=PTB17 Pin=J1-55
Added Pin To Net: NetName=PTB16 Pin=J1-56
Added Pin To Net: NetName=PTA28 Pin=J1-57
Added Pin To Net: NetName=PTA29 Pin=J1-58
Added Pin To Net: NetName=PTA26 Pin=J1-59
Added Pin To Net: NetName=PTB20 Pin=J1-60
Added Pin To Net: NetName=PTB21 Pin=J1-61
Added Pin To Net: NetName=PTB22 Pin=J1-62
Added Pin To Net: NetName=PTB23 Pin=J1-63
Added Pin To Net: NetName=PTD8 Pin=J1-64
Added Pin To Net: NetName=PTD9 Pin=J1-65
Added Pin To Net: NetName=PTD15 Pin=J1-66
Added Pin To Net: NetName=PTD14 Pin=J1-67
Added Pin To Net: NetName=PTD13 Pin=J1-68
Added Pin To Net: NetName=PTD12 Pin=J1-69
Added Pin To Net: NetName=PTD11 Pin=J1-70
Added Pin To Net: NetName=PTD11 Pin=J1-71
Added Pin To Net: NetName=PTD10 Pin=J1-72
Added Pin To Net: NetName=3.3V Pin=J1-74
Added Pin To Net: NetName=VREFH Pin=J1-75
Added Pin To Net: NetName=VREFL Pin=J1-76
Added Pin To Net: NetName=VSS Pin=J1-77
Change Net Name : Old Net Name=VSS New Net Name=GND
Added Pin To Net: NetName=ADC1_DP0 Pin=J1-7
Added Pin To Net: NetName=ADC1_DP0 Pin=J1-7
Added Pin To Net: NetName=ADC1_DP0 Pin=J1-7
Added Pin To Net: NetName=ADC1_DP0 Pin=U2-29
Added Net: Name=ADC1_DP0
